Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
Rudy Gay,SAC,30,8-Jun,230,Connecticut,USA,2006,1,8,30,18.7,6.3,2.8,1.7,3.90%,17.60%,25.10%,55.90%,14.00%
Rudy Gobert,UTA,24,1-Jul,245,None,France,2013,1,27,52,13,12.5,1,8.1,13.50%,28.20%,15.80%,68.20%,4.70%
Russell Westbrook,OKC,28,3-Jun,200,UCLA,USA,2008,1,4,53,30.9,10.5,10.2,4,5.90%,26.30%,41.10%,54.20%,53.90%
Ryan Anderson,HOU,28,10-Jun,240,California,USA,2008,1,21,51,13.8,5.1,0.9,7.1,5.80%,12.70%,17.60%,58.50%,4.40%
Ryan Kelly,ATL,25,11-Jun,230,Duke,USA,2013,2,48,9,1.1,1.1,0.6,18.5,0.00%,20.80%,12.50%,46.00%,15.60%
Salah Mejri,DAL,30,2-Jul,245,None,Tunisia,Undrafted,Undrafted,Undrafted,45,2.7,4.4,0.2,-1.8,11.70%,29.00%,9.60%,67.70%,2.70%
Sam Dekker,HOU,22,9-Jun,230,Wisconsin,USA,2015,1,18,54,7.3,4,1.1,1.9,7.90%,14.60%,16.10%,55.10%,8.30%
Sasha Vujacic,NYK,32,7-Jun,195,None,Slovenia,2004,1,27,28,2.3,1.2,0.8,3.9,1.40%,12.70%,15.00%,46.00%,15.00%
Sean Kilpatrick,BKN,27,4-Jun,219,Cincinnati,USA,Undrafted,Undrafted,Undrafted,50,14,4.1,2.4,-8.5,1.20%,14.80%,23.90%,55.00%,14.60%
Semaj Christon,OKC,24,3-Jun,190,Xavier,USA,2014,2,55,38,3.2,1.4,2.4,-7.3,2.60%,8.80%,14.50%,38.10%,23.60%
Serge Ibaka,ORL,27,10-Jun,235,None,Congo,2008,1,24,52,14.9,6.9,1.1,-4.8,6.20%,19.40%,21.10%,56.40%,5.70%
Sergio Rodriguez,PHI,30,3-Jun,176,None,Spain,2006,1,27,46,8.3,2.5,5.2,-8.1,1.50%,10.50%,19.80%,49.00%,35.70%
Seth Curry,DAL,26,2-Jun,185,Duke,USA,Undrafted,Undrafted,Undrafted,47,11.7,2.5,2.6,0.4,1.70%,9.50%,19.60%,57.70%,15.80%
Shabazz Muhammad,MIN,24,6-Jun,223,UCLA,USA,2013,1,14,48,9.1,3,0.4,0,6.10%,11.20%,19.60%,56.40%,3.40%
Shabazz Napier,POR,25,1-Jun,175,Connecticut,USA,2014,1,24,30,3.3,0.7,0.9,2.1,1.00%,10.00%,23.90%,51.00%,19.10%
Shaun Livingston,GSW,31,7-Jun,192,None,USA,2004,1,4,47,5.4,2,1.7,3.8,2.80%,9.70%,14.10%,58.20%,14.10%
Sheldon McClellan,WAS,24,6-Jun,200,Miami (Fla.),USA,Undrafted,Undrafted,Undrafted,23,3,1.3,0.7,-8,1.70%,11.30%,13.60%,48.40%,9.10%
Shelvin Mack,UTA,26,3-Jun,203,Butler,USA,2011,2,34,43,7.7,2.1,2.8,0.4,1.90%,9.00%,19.90%,51.20%,21.10%
Skal Labissiere,SAC,20,11-Jun,225,Kentucky,Haiti,2016,1,28,6,3,2,0,15,19.40%,12.20%,18.30%,60.20%,0.00%
Solomon Hill,NOP,25,7-Jun,225,Arizona,USA,2013,1,23,50,6.3,3.7,1.7,0.1,2.10%,11.80%,11.10%,51.90%,8.30%
Spencer Dinwiddie,BKN,23,6-Jun,200,Colorado,USA,2014,2,38,28,6.5,2.6,2.6,-10.3,1.80%,11.60%,14.70%,56.00%,18.90%
Spencer Hawes,MIL,28,1-Jul,245,Washington,USA,2007,1,10,35,7.3,4.2,1.8,-10.2,5.50%,20.20%,19.30%,54.50%,16.80%
Stanley Johnson,DET,20,7-Jun,245,Arizona,USA,2015,1,8,48,4.1,2.4,1.3,-2.7,3.20%,13.20%,13.80%,47.10%,11.50%
Stephen Curry,GSW,28,3-Jun,190,Davidson,USA,2009,1,7,50,25.6,4.3,6.4,16.8,2.00%,11.30%,28.40%,63.90%,27.20%
Stephen Zimmerman,ORL,20,Jul-00,240,Nevada-Las Vegas,USA,2016,2,41,8,1.3,1.8,0.1,-9.1,11.40%,40.00%,16.40%,43.70%,5.00%
Steve Novak,MIL,33,10-Jun,225,Marquette,USA,2006,2,32,8,0.6,0.4,0,-1.6,0.00%,14.30%,16.90%,35.70%,0.00%
Steven Adams,OKC,23,Jul-00,255,Pittsburgh,New Zealand,2013,1,12,51,12.1,7.9,1.2,4.2,11.90%,15.60%,16.50%,60.50%,5.80%
TJ McConnell,PHI,24,2-Jun,200,Arizona,USA,Undrafted,Undrafted,Undrafted,50,5.9,3,6,-5,1.80%,11.30%,13.90%,50.20%,37.10%
TJ Warren,PHX,23,8-Jun,225,North Carolina State,USA,2014,1,14,39,13.3,3.9,1,-5.5,6.20%,8.30%,19.80%,50.60%,5.20%
Taj Gibson,CHI,31,9-Jun,236,Southern California,USA,2009,1,26,50,11.7,7,1.1,0.5,8.50%,18.70%,19.10%,54.50%,6.50%
Tarik Black,LAL,25,9-Jun,250,Kansas,USA,Undrafted,Undrafted,Undrafted,42,6,5.5,0.6,1.6,15.00%,21.00%,15.80%,56.30%,5.40%
Taurean Prince,ATL,22,8-Jun,220,Baylor,USA,2016,1,12,31,3.3,1.8,0.7,-1.6,2.20%,17.40%,18.20%,50.10%,11.70%
Terrence Jones,NOP,25,9-Jun,255,Kentucky,USA,2012,1,18,50,11.3,5.9,1.2,-0.9,5.30%,20.20%,21.50%,51.50%,7.50%
Terrence Ross,TOR,26,7-Jun,195,Washington,USA,2012,1,8,52,10.4,2.6,0.8,8.1,1.30%,11.50%,19.50%,55.70%,5.30%
Terry Rozier,BOS,22,2-Jun,190,Louisville,USA,2015,1,16,46,5.6,3.1,1.6,0.6,3.30%,15.60%,16.10%,47.90%,14.00%
